"nombre_barrio","cliente"
Santa Mónica Residencial,-6.24782E+17
San Nicolás,"6.95876E+18"
Municipal,-7.01911E+18
Barrio Obrero,"5.39507E+18"
Villa del Prado-El Guabito,-2.09182E+18
Santa Anita,"8.497E+18"
San Vicente,-3.82132E+18
Urbanización Río Lili,"8.80077E+18"
Meléndez,"4.11195E+18"
El Sena,"4.33594E+18"
Barrio Obrero,-8.29883E+18
San Pedro,-2.67138E+18
San Vicente,"6.12138E+18"
Parcelaciones Pance,"4.10015E+18"
Chipichape,-3.67103E+18
Vipasa,"2.33026E+18"
Nueva Floresta del Ict,"1.27195E+18"
San Vicente,-3.0769E+18
Chipichape,"8.42212E+18"
Versalles,-7.97802E+18
Santa Rita,"5.36101E+16"
San Vicente,"2.36255E+18"
Chapinero,-9.17718E+18
Chipichape,-7.3534E+18
San Fernando Viejo,"5.96663E+18"
Mayapan-Las Vegas,"7.47375E+18"
Urbanización Ciudad Jardín,-3.22545E+18
Urbanización Militar,"5.70371E+18"
Santa Mónica Residencial,-1.86157E+18
El Sena,-6.16092E+17
Unicentro Cali,"4.10842E+18"
San Vicente,-8.02174E+18
Urbanización San Juaquín,"3.59587E+18"
El Calvario,-6.53962E+18
Junin,"8.28719E+18"
Urbanización Ciudad Jardín,-3.60628E+18
El Troncal,"6.6609E+18"
El Cedro,"1.11807E+18"
La Merced,-1.99918E+18
Urbanización Ciudad Jardín,-2.86531E+18
San Fernando Nuevo,-6.26246E+18
San Antonio,-2.55967E+18
Junin,-1.21701E+18
San Pedro,-6.40114E+18
Urbanización San Juaquín,"7.18258E+18"
Julio Rincón,-9.00154E+18
Urbanización La Flora,"7.80093E+18"
El Peñón,-8.05429E+18
San Nicolás,-7.92069E+17
San Vicente,"2.96726E+18"
Urbanización Río Lili,"1.5139E+18"
Buenos Aires,"7.3662E+18"
Parcelaciones Pance,-4.84409E+18
San Fernando Viejo,"9.20729E+18"
El Calvario,"5.82972E+18"
Chapinero,"8.13094E+18"
Manzanares,"4.32947E+18"
San Nicolás,-2.90455E+18
Lili,"8.17662E+18"
La Flora,-9.05083E+18
San Vicente,-3.85215E+18
Manzanares,"2.38936E+18"
Urbanización San Juaquín,-1.67211E+18
Unidad Residencial Santiago de Cali,-1.68389E+18
Calima,"8.47764E+18"
San Vicente,"7.52744E+18"
Urbanización Ciudad Jardín,"4.99342E+18"
Chipichape,-4.0954E+18
Ciudad Capri,-2.31629E+18
Julio Rincón,"5.12997E+18"
El Gran Limonar,-3.80383E+18
Urbanización Tequendama,-6.91039E+18
El Cedro,"2.16682E+18"
Urbanización San Juaquín,"4.61448E+17"
Camino Real-Joaquín Borrero,"1.71749E+18"
El Cedro,-6.15319E+18
Lili,"7.23898E+18"
San Fernando Viejo,"7.49291E+18"
Urbanización Ciudad Jardín,-5.49449E+18
Los Guaduales,-7.84196E+18
El Calvario,-5.44773E+18
Unicentro Cali,"7.53806E+18"
Calima,-5.87821E+18
Santander,-4.73227E+18
Lili,-5.04222E+18
Siete de Agosto,"4.12598E+18"
San Pedro,"9.03294E+18"
Los Libertadores,-4.5463E+18
Bolivariano,"5.26219E+18"
Urbanización Ciudad Jardín,"5.44089E+18"
Unicentro Cali,-7.25864E+18
Chapinero,"7.49634E+18"
El Lido,"5.27393E+18"
Unicentro Cali,"5.38728E+17"
Barrio Obrero,-1.02994E+18
Lili,"7.72223E+17"
Colseguros Andes,-1.37671E+18
Santa Mónica Residencial,-6.82801E+18
El Sena,"2.82008E+17"
Urbanización Ciudad Jardín,-2.19721E+18
San Fernando Viejo,-5.11714E+18
Calima,-2.3169E+18
Los Guaduales,"4.37807E+18"
San Vicente,-8.58951E+18
Santa Mónica Residencial,-8.50408E+18
La Independencia,"5.68548E+18"
San Vicente,-1.19796E+18
Urbanización Río Lili,"2.48792E+18"
Unidad Residencial Santiago de Cali,"6.12297E+18"
Unicentro Cali,"6.76187E+18"
Bolivariano,"5.42012E+18"
Unidad Residencial Santiago de Cali,-4.08991E+18
Chapinero,"6.68208E+18"
Lili,-1.3281E+18
Urbanización San Juaquín,-8.85742E+18
El Sena,"1.90054E+18"
Prados del Norte,-8.42578E+17
Chapinero,-3.80287E+17
El Sena,-2.38188E+18
Villa Colombia,-4.91579E+18
La Merced,-9.16127E+18
Chapinero,-5.07903E+18
Primero de Mayo,-3.35439E+18
La Isla,-1.79185E+18
Unicentro Cali,"5.23041E+18"
Colseguros Andes,-2.94052E+18
El Calvario,"4.83772E+18"
El Sena,-3.76461E+18
La Ciudadela Confandi,"5.33136E+18"
Chapinero,-8.38941E+18
Urbanización Ciudad Jardín,-3.55518E+18
Chipichape,"5.37389E+18"
Urbanización La Flora,-4.72099E+18
El Cedro,"5.31651E+18"
Urbanización Militar,-3.66815E+18
Primero de Mayo,"4.7839E+18"
El Ángel del Hogar,-2.69144E+17
Unidad Residencial Santiago de Cali,-8.12164E+18
Urbanización San Juaquín,-7.63234E+17
Versalles,-2.01444E+18
Ciudad 2000,-7.81589E+18
El Sena,-5.95219E+18
Colseguros Andes,-9.11768E+17
El Sena,"2.8355E+18"
Los Guaduales,"7.59134E+18"
San Fernando Nuevo,-3.33596E+18
Prados del Norte,-6.0669E+18
Urbanización Ciudad Jardín,"6.76112E+18"
Santa Mónica Residencial,-5.47554E+18
Julio Rincón,"5.8762E+18"
Urbanización La Flora,-6.06308E+18
Julio Rincón,"5.0665E+18"
Lili,"5.0154E+18"
Urbanización San Juaquín,-8.58603E+18
San Pedro,"3.7587E+18"
San Fernando Nuevo,-9.15466E+18
Urbanización Ciudad Jardín,"3.85267E+18"
San Antonio,-4.69531E+17
Meléndez,"6.51487E+17"
San Nicolás,"3.87344E+18"
Juanambu,-2.71638E+18
San Pedro,-8.66798E+18
Urbanización Ciudad Jardín,-2.15554E+18
El Cedro,-7.03109E+18
Urbanización Ciudad Jardín,-4.69747E+17
El Cedro,"2.25433E+18"
Santa Mónica Residencial,-3.9498E+18
Área Libre-Parque del Amor,"6.43299E+18"
Granada,-1.43219E+18
Los Alcázares,"7.58617E+18"
Urbanización San Juaquín,-2.7066E+18
Ville Grande,-7.83329E+18
Urbanización Tequendama,"6.25657E+18"
San Vicente,-6.74271E+18
Santa Mónica Residencial,"2.16417E+18"
El Sena,"8.98238E+18"
Santander,-6.80986E+18
Granada,"6.73323E+18"
Urbanización San Juaquín,"3.38074E+18"
Calima,-3.24269E+18
El Troncal,-1.32578E+18
El Jordán,"6.06983E+18"
San Pedro,-8.39509E+18
San Cristobal,"2.18916E+18"
Sindical,"4.70051E+18"
San Fernando Viejo,-8.0266E+18
Ville Grande,"4.86562E+17"
El Calvario,"3.99855E+18"
Vipasa,-8.17513E+18
Versalles,"7.22081E+18"
Los Alcázares,-8.29732E+18
Ciudad Córdoba,-5.4304E+18
La Paz,-2.88574E+18
Unicentro Cali,-8.16021E+18
Versalles,-4.79056E+18
San Nicolás,"4.0575E+18"
El Sena,-5.53251E+18
Unicentro Cali,"6.05021E+18"
El Cedro,"2.96387E+18"
Unicentro Cali,"6.88661E+18"
Unicentro Cali,"6.76113E+17"
Mayapan-Las Vegas,"5.23839E+17"
San Vicente,"2.27051E+18"
Sucre,"1.66795E+17"
Flora Industrial,-5.65781E+17
San Pedro,-2.08044E+18
Lili,"7.05476E+18"
San Fernando Viejo,"2.80607E+18"
Villa Colombia,"1.86044E+18"
Los Guaduales,"5.18675E+18"
Unidad Residencial Santiago de Cali,"8.21549E+18"
Santa Mónica Residencial,-8.9066E+18
Unicentro Cali,-8.21911E+18
Santa Mónica Residencial,-1.61904E+18
Urbanización La Flora,-6.95127E+18
Canaverales Los Samanes,-1.85666E+18
El Sena,"1.73048E+18"
Desepaz Invicali,"4.90236E+18"
Sucre,"4.08427E+18"
Lili,"2.09873E+18"
El Gran Limonar,-4.85121E+18
Urbanización San Juaquín,-5.3653E+18
El Cedro,"4.50432E+18"
Urbanización La Flora,-4.9086E+17
El Troncal,"3.49945E+18"
Chipichape,"3.522E+18"
Unidad Residencial Santiago de Cali,-1.43636E+18
Urbanización La Flora,"8.1069E+16"
San Vicente,-3.2511E+17
San Vicente,-8.25307E+18
El Cedro,-2.11454E+17
Santander,"9.53332E+17"
El Calvario,"4.17979E+18"
San Nicolás,"2.36053E+18"
Brisas de los Álamos,-6.88031E+18
San Pedro,-4.01759E+18
Urbanización Militar,"3.61826E+18"
Santa Isabel,"4.08342E+18"
El Cedro,"2.62949E+18"
Los Guaduales,"4.04922E+18"
Lili,-7.81749E+18
El Jardín,-4.71975E+18
San Fernando Nuevo,-9.11863E+16
La Base,"7.96477E+18"
Las Acacias,"5.86742E+18"
La Paz,"3.94086E+18"
Boyacá,"2.40347E+18"
Unicentro Cali,-3.57191E+17
Urbanización San Juaquín,-6.56558E+18
Unicentro Cali,"4.72864E+18"
Lili,-1.36764E+18
Colseguros Andes,-6.79167E+18
San Pedro,"3.91491E+18"
Ciudad 2000,-6.41821E+18
San Vicente,-4.90953E+18
Chipichape,"5.26867E+18"
Unidad Residencial Santiago de Cali,-6.03912E+18
Chapinero,"4.48037E+18"
Sucre,-3.19367E+18
San Vicente,-4.67829E+18
Urbanización San Juaquín,"7.91255E+17"
Unicentro Cali,-4.63652E+18
Mayapan-Las Vegas,"2.43799E+18"
Siloe,-7.11483E+18
Mayapan-Las Vegas,"2.85085E+18"
Caney,-4.72331E+18
San Pedro,"2.92757E+18"
San Pedro,-5.6539E+18
La Fortaleza,-4.833E+18
Unicentro Cali,-7.51191E+18
Urbanización Río Lili,"6.57285E+18"
San Vicente,"4.5179E+18"
Julio Rincón,-6.86111E+17
Siete de Agosto,"3.971E+18"
Los Guayacanes,-5.16318E+18
El Gran Limonar,"4.9584E+18"
Cataya-El Gran Limonar,"5.47929E+18"
Ciudad Los Álamos,"5.06629E+18"
Sucre,-5.4848E+18
Champagnat,-8.10701E+18
